INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  10.89, Acc-val:   9.71, L-tr: 2.3115, L-val: 2.3170
INFO:root:001: Acc-tr:  11.54, Acc-val:   9.79, L-tr: 2.3009, L-val: 2.3062
INFO:root:002: Acc-tr:  12.01, Acc-val:  10.09, L-tr: 2.2982, L-val: 2.3073
INFO:root:003: Acc-tr:  12.06, Acc-val:   9.87, L-tr: 2.2974, L-val: 2.3093
INFO:root:004: Acc-tr:  12.88, Acc-val:   9.62, L-tr: 2.2938, L-val: 2.3076
INFO:root:005: Acc-tr:  12.11, Acc-val:  10.45, L-tr: 2.2932, L-val: 2.3120
INFO:root:006: Acc-tr:  12.96, Acc-val:   9.76, L-tr: 2.2890, L-val: 2.3183
INFO:root:007: Acc-tr:  12.69, Acc-val:   9.92, L-tr: 2.2867, L-val: 2.3228
INFO:root:008: Acc-tr:  14.10, Acc-val:   9.89, L-tr: 2.2791, L-val: 2.3234
INFO:root:009: Acc-tr:  13.88, Acc-val:   9.65, L-tr: 2.2756, L-val: 2.3336
INFO:root:010: Acc-tr:  14.72, Acc-val:  10.13, L-tr: 2.2679, L-val: 2.3342
INFO:root:011: Acc-tr:  13.99, Acc-val:   9.82, L-tr: 2.2589, L-val: 2.3503
INFO:root:012: Acc-tr:  17.35, Acc-val:  10.30, L-tr: 2.2309, L-val: 2.3401
INFO:root:013: Acc-tr:  19.96, Acc-val:  10.49, L-tr: 2.2096, L-val: 2.3340
INFO:root:014: Acc-tr:  17.35, Acc-val:   9.53, L-tr: 2.2134, L-val: 2.3796
INFO:root:015: Acc-tr:  22.19, Acc-val:  10.03, L-tr: 2.1596, L-val: 2.3908
INFO:root:016: Acc-tr:  19.70, Acc-val:   9.93, L-tr: 2.1997, L-val: 2.4976
INFO:root:017: Acc-tr:  23.61, Acc-val:   9.72, L-tr: 2.1464, L-val: 2.4966
INFO:root:018: Acc-tr:  26.77, Acc-val:  10.13, L-tr: 2.0740, L-val: 2.4337
INFO:root:019: Acc-tr:  26.41, Acc-val:  10.14, L-tr: 2.0705, L-val: 2.5248
INFO:root:020: Acc-tr:  26.34, Acc-val:   9.59, L-tr: 2.0738, L-val: 2.6013
INFO:root:021: Acc-tr:  22.50, Acc-val:   9.84, L-tr: 2.0953, L-val: 2.6817
INFO:root:022: Acc-tr:  30.67, Acc-val:  10.59, L-tr: 1.9617, L-val: 2.7857
INFO:root:023: Acc-tr:  31.71, Acc-val:  10.27, L-tr: 2.0367, L-val: 2.9956
INFO:root:024: Acc-tr:  38.17, Acc-val:  10.13, L-tr: 1.7673, L-val: 2.7334
INFO:root:025: Acc-tr:  28.64, Acc-val:  10.10, L-tr: 1.9484, L-val: 3.0354
INFO:root:026: Acc-tr:  39.63, Acc-val:   9.55, L-tr: 1.7393, L-val: 3.0363
INFO:root:027: Acc-tr:  39.88, Acc-val:   9.84, L-tr: 1.7491, L-val: 3.1068
INFO:root:028: Acc-tr:  40.82, Acc-val:  10.03, L-tr: 1.6667, L-val: 3.0843
INFO:root:029: Acc-tr:  37.69, Acc-val:  10.32, L-tr: 1.8979, L-val: 3.4919
INFO:root:030: Acc-tr:  38.57, Acc-val:   9.93, L-tr: 1.7573, L-val: 3.5389
INFO:root:031: Acc-tr:  36.98, Acc-val:  10.37, L-tr: 1.7157, L-val: 3.3330
INFO:root:032: Acc-tr:  43.87, Acc-val:  10.29, L-tr: 1.6491, L-val: 3.7503
INFO:root:033: Acc-tr:  39.42, Acc-val:  10.09, L-tr: 1.7139, L-val: 3.8856
INFO:root:034: Acc-tr:  43.64, Acc-val:   9.95, L-tr: 1.6822, L-val: 4.0093
INFO:root:035: Acc-tr:  44.30, Acc-val:   9.87, L-tr: 1.6277, L-val: 3.8885
INFO:root:036: Acc-tr:  51.87, Acc-val:  10.38, L-tr: 1.3804, L-val: 4.1389
INFO:root:037: Acc-tr:  63.99, Acc-val:   9.83, L-tr: 1.0713, L-val: 3.5582
INFO:root:038: Acc-tr:  55.44, Acc-val:   9.98, L-tr: 1.2962, L-val: 3.7556
INFO:root:039: Acc-tr:  53.35, Acc-val:  10.08, L-tr: 1.3297, L-val: 4.1241
INFO:root:040: Acc-tr:  58.14, Acc-val:  10.24, L-tr: 1.2100, L-val: 3.9380
INFO:root:041: Acc-tr:  40.02, Acc-val:   9.94, L-tr: 1.8392, L-val: 4.5819
INFO:root:042: Acc-tr:  63.15, Acc-val:  10.28, L-tr: 1.0958, L-val: 3.9821
INFO:root:043: Acc-tr:  54.93, Acc-val:   9.86, L-tr: 1.3256, L-val: 4.6723
INFO:root:044: Acc-tr:  60.94, Acc-val:  10.25, L-tr: 1.1369, L-val: 4.3435
INFO:root:045: Acc-tr:  62.07, Acc-val:   9.77, L-tr: 1.1442, L-val: 4.4960
INFO:root:046: Acc-tr:  71.90, Acc-val:  10.11, L-tr: 0.8216, L-val: 4.4002
INFO:root:047: Acc-tr:  66.64, Acc-val:  10.09, L-tr: 0.9713, L-val: 4.3978
INFO:root:048: Acc-tr:  66.11, Acc-val:  10.05, L-tr: 0.9920, L-val: 4.2513
INFO:root:049: Acc-tr:  70.29, Acc-val:  10.33, L-tr: 0.8926, L-val: 4.5087
INFO:root:050: Acc-tr:  65.11, Acc-val:   9.96, L-tr: 1.0116, L-val: 4.6202
INFO:root:051: Acc-tr:  63.12, Acc-val:  10.17, L-tr: 1.0567, L-val: 4.7535
INFO:root:052: Acc-tr:  69.78, Acc-val:  10.08, L-tr: 0.8990, L-val: 4.6207
INFO:root:053: Acc-tr:  50.72, Acc-val:   9.96, L-tr: 1.6061, L-val: 5.6893
INFO:root:054: Acc-tr:  61.49, Acc-val:  10.30, L-tr: 1.1867, L-val: 5.2836
INFO:root:055: Acc-tr:  76.37, Acc-val:  10.07, L-tr: 0.6915, L-val: 4.5647
INFO:root:056: Acc-tr:  71.34, Acc-val:  10.27, L-tr: 0.8384, L-val: 4.5356
INFO:root:057: Acc-tr:  66.42, Acc-val:   9.65, L-tr: 0.9503, L-val: 4.8321
INFO:root:058: Acc-tr:  68.69, Acc-val:  10.05, L-tr: 0.9257, L-val: 4.8925
INFO:root:059: Acc-tr:  66.67, Acc-val:   9.66, L-tr: 0.9745, L-val: 5.1110
INFO:root:060: Acc-tr:  75.21, Acc-val:   9.95, L-tr: 0.7278, L-val: 4.7446
INFO:root:061: Acc-tr:  72.80, Acc-val:   9.66, L-tr: 0.7846, L-val: 5.0630
INFO:root:062: Acc-tr:  61.86, Acc-val:  10.66, L-tr: 1.1490, L-val: 5.1061
INFO:root:063: Acc-tr:  75.53, Acc-val:  10.12, L-tr: 0.7122, L-val: 4.5283
INFO:root:064: Acc-tr:  58.37, Acc-val:  10.11, L-tr: 1.3297, L-val: 5.6306
INFO:root:065: Acc-tr:  58.11, Acc-val:  10.16, L-tr: 1.4819, L-val: 5.8095
INFO:root:066: Acc-tr:  67.37, Acc-val:  10.15, L-tr: 0.9905, L-val: 5.3254
INFO:root:067: Acc-tr:  64.94, Acc-val:  10.12, L-tr: 1.0430, L-val: 5.4804
INFO:root:068: Acc-tr:  67.26, Acc-val:  10.04, L-tr: 0.9640, L-val: 5.2879
INFO:root:069: Acc-tr:  75.85, Acc-val:   9.79, L-tr: 0.7108, L-val: 5.1689
INFO:root:070: Acc-tr:  77.76, Acc-val:  10.15, L-tr: 0.6637, L-val: 4.6590
INFO:root:071: Acc-tr:  67.99, Acc-val:  10.07, L-tr: 0.9382, L-val: 5.3619
INFO:root:072: Acc-tr:  70.13, Acc-val:  10.47, L-tr: 0.8576, L-val: 5.0484
INFO:root:073: Acc-tr:  80.04, Acc-val:  10.07, L-tr: 0.5880, L-val: 4.7586
INFO:root:074: Acc-tr:  72.44, Acc-val:   9.92, L-tr: 0.8081, L-val: 5.1565
INFO:root:075: Acc-tr:  62.48, Acc-val:   9.66, L-tr: 1.1327, L-val: 5.7236
INFO:root:076: Acc-tr:  75.95, Acc-val:   9.72, L-tr: 0.6989, L-val: 4.7372
INFO:root:077: Acc-tr:  72.24, Acc-val:  10.04, L-tr: 0.8325, L-val: 4.9894
INFO:root:078: Acc-tr:  71.38, Acc-val:  10.19, L-tr: 0.8929, L-val: 5.3182
INFO:root:079: Acc-tr:  67.71, Acc-val:   9.92, L-tr: 0.9807, L-val: 5.2178
INFO:root:080: Acc-tr:  73.55, Acc-val:  10.54, L-tr: 0.7709, L-val: 5.1177
INFO:root:081: Acc-tr:  70.38, Acc-val:  10.42, L-tr: 0.8878, L-val: 5.3487
INFO:root:082: Acc-tr:  78.90, Acc-val:   9.81, L-tr: 0.6091, L-val: 4.9865
INFO:root:083: Acc-tr:  73.49, Acc-val:  10.32, L-tr: 0.7594, L-val: 5.1495
INFO:root:084: Acc-tr:  65.53, Acc-val:  10.01, L-tr: 1.0989, L-val: 5.6912
INFO:root:085: Acc-tr:  70.97, Acc-val:  10.17, L-tr: 0.8597, L-val: 5.3447
INFO:root:086: Acc-tr:  65.59, Acc-val:  10.37, L-tr: 1.1312, L-val: 5.5721
INFO:root:087: Acc-tr:  77.77, Acc-val:  10.08, L-tr: 0.6581, L-val: 5.1521
INFO:root:088: Acc-tr:  70.10, Acc-val:   9.83, L-tr: 0.9113, L-val: 5.3983
INFO:root:089: Acc-tr:  63.39, Acc-val:   9.77, L-tr: 1.1506, L-val: 5.6955
INFO:root:090: Acc-tr:  80.73, Acc-val:  10.33, L-tr: 0.5732, L-val: 4.7198
INFO:root:091: Acc-tr:  78.42, Acc-val:   9.75, L-tr: 0.6290, L-val: 4.8472
INFO:root:092: Acc-tr:  70.13, Acc-val:   9.93, L-tr: 0.9033, L-val: 5.5863
INFO:root:093: Acc-tr:  71.48, Acc-val:  10.33, L-tr: 0.8772, L-val: 5.2278
INFO:root:094: Acc-tr:  75.59, Acc-val:   9.83, L-tr: 0.7486, L-val: 5.1754
INFO:root:095: Acc-tr:  74.19, Acc-val:  10.01, L-tr: 0.8117, L-val: 5.5338
INFO:root:096: Acc-tr:  73.25, Acc-val:  10.08, L-tr: 0.7995, L-val: 5.0901
INFO:root:097: Acc-tr:  78.02, Acc-val:  10.17, L-tr: 0.6281, L-val: 5.0242
INFO:root:098: Acc-tr:  65.22, Acc-val:  10.38, L-tr: 1.0578, L-val: 5.9237
INFO:root:099: Acc-tr:  71.10, Acc-val:  10.29, L-tr: 0.8200, L-val: 5.2616
INFO:root:100: Acc-tr:  77.84, Acc-val:   9.96, L-tr: 0.6804, L-val: 5.4152
INFO:root:101: Acc-tr:  71.51, Acc-val:   9.92, L-tr: 0.8614, L-val: 5.3567
INFO:root:102: Acc-tr:  75.80, Acc-val:   9.85, L-tr: 0.7066, L-val: 5.1590
INFO:root:103: Acc-tr:  70.20, Acc-val:  10.13, L-tr: 0.9092, L-val: 5.6843
INFO:root:104: Acc-tr:  77.34, Acc-val:  10.20, L-tr: 0.6452, L-val: 5.3033
INFO:root:105: Acc-tr:  77.97, Acc-val:  10.03, L-tr: 0.6612, L-val: 5.1297
INFO:root:106: Acc-tr:  75.66, Acc-val:  10.40, L-tr: 0.7087, L-val: 5.1536
INFO:root:107: Acc-tr:  76.23, Acc-val:  10.17, L-tr: 0.7045, L-val: 5.2629
INFO:root:108: Acc-tr:  72.58, Acc-val:  10.08, L-tr: 0.8057, L-val: 5.5520
INFO:root:109: Acc-tr:  57.42, Acc-val:  10.21, L-tr: 1.3708, L-val: 6.2262
INFO:root:110: Acc-tr:  65.05, Acc-val:   9.80, L-tr: 1.1371, L-val: 6.0330
INFO:root:111: Acc-tr:  72.40, Acc-val:  10.35, L-tr: 0.7956, L-val: 5.3073
INFO:root:112: Acc-tr:  78.46, Acc-val:  10.30, L-tr: 0.6365, L-val: 4.9760
INFO:root:113: Acc-tr:  57.84, Acc-val:  10.46, L-tr: 1.3600, L-val: 6.3815
INFO:root:114: Acc-tr:  74.58, Acc-val:   9.92, L-tr: 0.7518, L-val: 5.3822
