INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:   9.38, Acc-val:  14.84, L-tr: 3.9491, L-val: 3.6843
INFO:root:001: Acc-tr:  16.41, Acc-val:   7.81, L-tr: 2.7530, L-val: 2.8802
INFO:root:002: Acc-tr:  16.41, Acc-val:   7.81, L-tr: 3.2734, L-val: 3.5210
INFO:root:003: Acc-tr:  16.41, Acc-val:  11.72, L-tr: 3.2387, L-val: 3.5477
INFO:root:004: Acc-tr:  17.19, Acc-val:  13.28, L-tr: 3.0120, L-val: 3.3555
INFO:root:005: Acc-tr:  16.41, Acc-val:  11.72, L-tr: 2.9291, L-val: 3.3432
INFO:root:006: Acc-tr:  17.19, Acc-val:  10.94, L-tr: 2.9411, L-val: 3.4752
INFO:root:007: Acc-tr:  17.97, Acc-val:  10.94, L-tr: 2.8185, L-val: 3.5662
INFO:root:008: Acc-tr:  18.75, Acc-val:  10.16, L-tr: 2.7362, L-val: 3.7255
INFO:root:009: Acc-tr:  27.34, Acc-val:  10.16, L-tr: 2.2805, L-val: 3.0496
INFO:root:010: Acc-tr:  21.09, Acc-val:  14.06, L-tr: 2.4866, L-val: 3.5555
INFO:root:011: Acc-tr:  28.91, Acc-val:  19.53, L-tr: 2.0034, L-val: 2.6480
INFO:root:012: Acc-tr:  35.94, Acc-val:  20.31, L-tr: 1.7676, L-val: 2.5571
INFO:root:013: Acc-tr:  39.84, Acc-val:  16.41, L-tr: 1.5535, L-val: 2.5292
INFO:root:014: Acc-tr:  42.19, Acc-val:  22.66, L-tr: 1.5316, L-val: 2.6308
INFO:root:015: Acc-tr:  38.28, Acc-val:  17.19, L-tr: 1.7214, L-val: 2.7310
INFO:root:016: Acc-tr:  11.72, Acc-val:  12.50, L-tr: 13.5736, L-val: 16.2200
INFO:root:017: Acc-tr:   7.03, Acc-val:  10.16, L-tr: 20.0925, L-val: 22.1247
INFO:root:018: Acc-tr:  13.28, Acc-val:  12.50, L-tr: 11.6929, L-val: 13.5082
INFO:root:019: Acc-tr:  19.53, Acc-val:  19.53, L-tr: 8.9660, L-val: 11.3376
INFO:root:020: Acc-tr:  14.06, Acc-val:  16.41, L-tr: 12.3348, L-val: 14.8596
INFO:root:021: Acc-tr:  10.16, Acc-val:  17.19, L-tr: 8.7208, L-val: 9.5370
INFO:root:022: Acc-tr:  22.66, Acc-val:  21.88, L-tr: 3.8980, L-val: 4.7829
INFO:root:023: Acc-tr:  45.31, Acc-val:  23.44, L-tr: 2.1739, L-val: 3.9775
INFO:root:024: Acc-tr:  22.66, Acc-val:  22.66, L-tr: 7.4548, L-val: 8.8821
INFO:root:025: Acc-tr:  14.06, Acc-val:  21.09, L-tr: 11.1300, L-val: 11.7311
INFO:root:026: Acc-tr:  14.06, Acc-val:  21.09, L-tr: 9.2546, L-val: 9.9198
INFO:root:027: Acc-tr:  13.28, Acc-val:  14.84, L-tr: 6.5267, L-val: 7.5773
INFO:root:028: Acc-tr:  19.53, Acc-val:  17.19, L-tr: 5.9084, L-val: 7.1089
INFO:root:029: Acc-tr:  28.91, Acc-val:  17.19, L-tr: 3.4282, L-val: 5.2181
INFO:root:030: Acc-tr:  23.44, Acc-val:  17.97, L-tr: 5.5643, L-val: 7.4794
INFO:root:031: Acc-tr:  40.62, Acc-val:  22.66, L-tr: 2.7969, L-val: 5.2323
INFO:root:032: Acc-tr:  41.41, Acc-val:  23.44, L-tr: 2.1602, L-val: 4.2791
INFO:root:033: Acc-tr:  45.31, Acc-val:  24.22, L-tr: 1.8251, L-val: 3.9319
INFO:root:034: Acc-tr:  48.44, Acc-val:  26.56, L-tr: 1.8189, L-val: 4.2082
INFO:root:035: Acc-tr:  55.47, Acc-val:  25.00, L-tr: 1.5923, L-val: 4.3183
INFO:root:036: Acc-tr:  60.16, Acc-val:  26.56, L-tr: 1.2562, L-val: 4.2286
INFO:root:037: Acc-tr:  64.84, Acc-val:  25.00, L-tr: 1.0420, L-val: 4.1357
INFO:root:038: Acc-tr:  70.31, Acc-val:  24.22, L-tr: 0.9498, L-val: 4.1387
INFO:root:039: Acc-tr:  72.66, Acc-val:  22.66, L-tr: 0.9052, L-val: 4.2154
INFO:root:040: Acc-tr:  73.44, Acc-val:  24.22, L-tr: 0.8662, L-val: 4.3437
INFO:root:041: Acc-tr:  75.00, Acc-val:  25.00, L-tr: 0.7997, L-val: 4.4961
INFO:root:042: Acc-tr:  76.56, Acc-val:  25.00, L-tr: 0.7214, L-val: 4.6376
INFO:root:043: Acc-tr:  78.12, Acc-val:  25.00, L-tr: 0.6353, L-val: 4.7588
INFO:root:044: Acc-tr:  81.25, Acc-val:  23.44, L-tr: 0.5679, L-val: 4.8699
INFO:root:045: Acc-tr:  83.59, Acc-val:  23.44, L-tr: 0.5081, L-val: 4.9492
INFO:root:046: Acc-tr:  85.94, Acc-val:  23.44, L-tr: 0.4366, L-val: 4.9833
INFO:root:047: Acc-tr:  87.50, Acc-val:  22.66, L-tr: 0.3557, L-val: 4.9727
INFO:root:048: Acc-tr:  88.28, Acc-val:  22.66, L-tr: 0.2738, L-val: 4.9200
INFO:root:049: Acc-tr:  91.41, Acc-val:  24.22, L-tr: 0.1977, L-val: 4.8360
INFO:root:050: Acc-tr:  92.97, Acc-val:  25.00, L-tr: 0.1306, L-val: 4.7371
INFO:root:051: Acc-tr:  97.66, Acc-val:  25.00, L-tr: 0.0785, L-val: 4.6337
INFO:root:052: Acc-tr:  99.22, Acc-val:  25.78, L-tr: 0.0421, L-val: 4.5301
INFO:root:053: Acc-tr: 100.00, Acc-val:  27.34, L-tr: 0.0214, L-val: 4.4296
INFO:root:054: Acc-tr: 100.00, Acc-val:  27.34, L-tr: 0.0112, L-val: 4.3381
INFO:root:055: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0063, L-val: 4.2645
INFO:root:056: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0039, L-val: 4.2108
INFO:root:057: Acc-tr: 100.00, Acc-val:  27.34, L-tr: 0.0027, L-val: 4.1757
INFO:root:058: Acc-tr: 100.00, Acc-val:  27.34, L-tr: 0.0020, L-val: 4.1571
INFO:root:059: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0016, L-val: 4.1498
INFO:root:060: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0014, L-val: 4.1520
INFO:root:061: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0012, L-val: 4.1612
INFO:root:062: Acc-tr: 100.00, Acc-val:  22.66, L-tr: 0.0011, L-val: 4.1744
INFO:root:063: Acc-tr: 100.00, Acc-val:  21.88, L-tr: 0.0011, L-val: 4.1878
INFO:root:064: Acc-tr: 100.00, Acc-val:  22.66, L-tr: 0.0010, L-val: 4.1999
INFO:root:065: Acc-tr: 100.00, Acc-val:  22.66, L-tr: 0.0010, L-val: 4.2100
INFO:root:066: Acc-tr: 100.00, Acc-val:  22.66, L-tr: 0.0009, L-val: 4.2174
INFO:root:067: Acc-tr: 100.00, Acc-val:  22.66, L-tr: 0.0009, L-val: 4.2212
INFO:root:068: Acc-tr: 100.00, Acc-val:  22.66, L-tr: 0.0009, L-val: 4.2220
INFO:root:069: Acc-tr: 100.00, Acc-val:  21.88, L-tr: 0.0009, L-val: 4.2195
INFO:root:070: Acc-tr: 100.00, Acc-val:  21.88, L-tr: 0.0009, L-val: 4.2138
INFO:root:071: Acc-tr: 100.00, Acc-val:  21.88, L-tr: 0.0009, L-val: 4.2056
INFO:root:072: Acc-tr: 100.00, Acc-val:  23.44, L-tr: 0.0009, L-val: 4.1953
INFO:root:073: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0009, L-val: 4.1835
INFO:root:074: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0009, L-val: 4.1709
INFO:root:075: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0009, L-val: 4.1578
INFO:root:076: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0009, L-val: 4.1448
INFO:root:077: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0009, L-val: 4.1322
INFO:root:078: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0009, L-val: 4.1204
INFO:root:079: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0009, L-val: 4.1097
INFO:root:080: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.1002
INFO:root:081: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0921
INFO:root:082: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0853
INFO:root:083: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0798
INFO:root:084: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0756
INFO:root:085: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0726
INFO:root:086: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0707
INFO:root:087: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0698
INFO:root:088: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0697
INFO:root:089: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0704
INFO:root:090: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0717
INFO:root:091: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0735
INFO:root:092: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0755
INFO:root:093: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0008, L-val: 4.0778
INFO:root:094: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0007, L-val: 4.0800
INFO:root:095: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0007, L-val: 4.0823
INFO:root:096: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0007, L-val: 4.0844
INFO:root:097: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0864
INFO:root:098: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0882
INFO:root:099: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0898
INFO:root:100: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0912
INFO:root:101: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0923
INFO:root:102: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0932
INFO:root:103: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0939
INFO:root:104: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0944
INFO:root:105: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0946
INFO:root:106: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0946
INFO:root:107: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0945
INFO:root:108: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0943
INFO:root:109: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0940
INFO:root:110: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0007, L-val: 4.0936
INFO:root:111: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0006, L-val: 4.0932
INFO:root:112: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0006, L-val: 4.0928
INFO:root:113: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0006, L-val: 4.0924
INFO:root:114: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0006, L-val: 4.0920
INFO:root:115: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0006, L-val: 4.0916
INFO:root:116: Acc-tr: 100.00, Acc-val:  24.22, L-tr: 0.0006, L-val: 4.0913
INFO:root:117: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0910
INFO:root:118: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0907
INFO:root:119: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0905
INFO:root:120: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0903
INFO:root:121: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0902
INFO:root:122: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0901
INFO:root:123: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0901
INFO:root:124: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0901
INFO:root:125: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0902
INFO:root:126: Acc-tr: 100.00, Acc-val:  25.00, L-tr: 0.0006, L-val: 4.0903
INFO:root:127: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0904
INFO:root:128: Acc-tr: 100.00, Acc-val:  25.78, L-tr: 0.0006, L-val: 4.0906
