INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  60.03, Acc-val:  58.96, L-tr: 1.1261, L-val: 1.1632
INFO:root:001: Acc-tr:  71.22, Acc-val:  69.29, L-tr: 0.8325, L-val: 0.8922
INFO:root:002: Acc-tr:  75.16, Acc-val:  73.31, L-tr: 0.7219, L-val: 0.7963
INFO:root:003: Acc-tr:  77.80, Acc-val:  74.77, L-tr: 0.6579, L-val: 0.7847
INFO:root:004: Acc-tr:  76.39, Acc-val:  72.94, L-tr: 0.6806, L-val: 0.8022
INFO:root:005: Acc-tr:  77.80, Acc-val:  74.49, L-tr: 0.6429, L-val: 0.7722
INFO:root:006: Acc-tr:  84.91, Acc-val:  80.29, L-tr: 0.4356, L-val: 0.5772
INFO:root:007: Acc-tr:  83.53, Acc-val:  78.93, L-tr: 0.4731, L-val: 0.6257
INFO:root:008: Acc-tr:  80.09, Acc-val:  74.98, L-tr: 0.5732, L-val: 0.7538
INFO:root:009: Acc-tr:  86.29, Acc-val:  80.75, L-tr: 0.3899, L-val: 0.5628
INFO:root:010: Acc-tr:  86.71, Acc-val:  80.66, L-tr: 0.3851, L-val: 0.5789
INFO:root:011: Acc-tr:  85.00, Acc-val:  79.56, L-tr: 0.4313, L-val: 0.6203
INFO:root:012: Acc-tr:  87.62, Acc-val:  81.62, L-tr: 0.3528, L-val: 0.5618
INFO:root:013: Acc-tr:  86.47, Acc-val:  80.50, L-tr: 0.3924, L-val: 0.5840
INFO:root:014: Acc-tr:  86.82, Acc-val:  80.21, L-tr: 0.3778, L-val: 0.5944
INFO:root:015: Acc-tr:  85.19, Acc-val:  79.14, L-tr: 0.4243, L-val: 0.6256
INFO:root:016: Acc-tr:  87.85, Acc-val:  80.70, L-tr: 0.3589, L-val: 0.5886
INFO:root:017: Acc-tr:  90.80, Acc-val:  83.55, L-tr: 0.2703, L-val: 0.5018
INFO:root:018: Acc-tr:  87.20, Acc-val:  78.92, L-tr: 0.3652, L-val: 0.6371
INFO:root:019: Acc-tr:  84.80, Acc-val:  77.78, L-tr: 0.4388, L-val: 0.7056
INFO:root:020: Acc-tr:  89.48, Acc-val:  81.60, L-tr: 0.3052, L-val: 0.5522
INFO:root:021: Acc-tr:  87.37, Acc-val:  80.12, L-tr: 0.3423, L-val: 0.5969
INFO:root:022: Acc-tr:  91.74, Acc-val:  83.28, L-tr: 0.2507, L-val: 0.4904
INFO:root:023: Acc-tr:  89.24, Acc-val:  81.83, L-tr: 0.3118, L-val: 0.5741
INFO:root:024: Acc-tr:  89.19, Acc-val:  81.64, L-tr: 0.3089, L-val: 0.5597
INFO:root:025: Acc-tr:  89.78, Acc-val:  81.58, L-tr: 0.2967, L-val: 0.5532
INFO:root:026: Acc-tr:  82.38, Acc-val:  75.27, L-tr: 0.5249, L-val: 0.8109
INFO:root:027: Acc-tr:  88.53, Acc-val:  80.40, L-tr: 0.3284, L-val: 0.6271
INFO:root:028: Acc-tr:  86.57, Acc-val:  79.15, L-tr: 0.3828, L-val: 0.6517
INFO:root:029: Acc-tr:  86.04, Acc-val:  78.11, L-tr: 0.4151, L-val: 0.6934
INFO:root:030: Acc-tr:  90.62, Acc-val:  82.59, L-tr: 0.2649, L-val: 0.5322
INFO:root:031: Acc-tr:  87.19, Acc-val:  79.48, L-tr: 0.3657, L-val: 0.6527
INFO:root:032: Acc-tr:  89.29, Acc-val:  81.49, L-tr: 0.3009, L-val: 0.5614
INFO:root:033: Acc-tr:  90.77, Acc-val:  82.43, L-tr: 0.2584, L-val: 0.5292
INFO:root:034: Acc-tr:  87.41, Acc-val:  79.15, L-tr: 0.3625, L-val: 0.6592
INFO:root:035: Acc-tr:  92.93, Acc-val:  84.40, L-tr: 0.2080, L-val: 0.4681
