INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  20.49, Acc-val:  20.58, L-tr: 2.1612, L-val: 2.1574
INFO:root:001: Acc-tr:  20.51, Acc-val:  20.45, L-tr: 2.1486, L-val: 2.1522
INFO:root:002: Acc-tr:  18.99, Acc-val:  18.82, L-tr: 2.1682, L-val: 2.1795
INFO:root:003: Acc-tr:  19.07, Acc-val:  18.35, L-tr: 2.1870, L-val: 2.2005
INFO:root:004: Acc-tr:  21.36, Acc-val:  20.32, L-tr: 2.1268, L-val: 2.1551
INFO:root:005: Acc-tr:  22.74, Acc-val:  20.73, L-tr: 2.1031, L-val: 2.1492
INFO:root:006: Acc-tr:  21.39, Acc-val:  19.87, L-tr: 2.1177, L-val: 2.1761
INFO:root:007: Acc-tr:  24.12, Acc-val:  20.40, L-tr: 2.0724, L-val: 2.1587
INFO:root:008: Acc-tr:  23.05, Acc-val:  19.04, L-tr: 2.0984, L-val: 2.1838
INFO:root:009: Acc-tr:  23.43, Acc-val:  19.90, L-tr: 2.0775, L-val: 2.1911
INFO:root:010: Acc-tr:  22.93, Acc-val:  18.79, L-tr: 2.0944, L-val: 2.2449
INFO:root:011: Acc-tr:  23.53, Acc-val:  18.40, L-tr: 2.0643, L-val: 2.2086
INFO:root:012: Acc-tr:  21.92, Acc-val:  17.49, L-tr: 2.0991, L-val: 2.2706
INFO:root:013: Acc-tr:  26.16, Acc-val:  18.26, L-tr: 1.9975, L-val: 2.2341
INFO:root:014: Acc-tr:  28.00, Acc-val:  19.68, L-tr: 1.9634, L-val: 2.2570
INFO:root:015: Acc-tr:  30.17, Acc-val:  18.91, L-tr: 1.9125, L-val: 2.2676
INFO:root:016: Acc-tr:  29.73, Acc-val:  18.26, L-tr: 1.9102, L-val: 2.3009
INFO:root:017: Acc-tr:  29.92, Acc-val:  18.77, L-tr: 1.9182, L-val: 2.2901
INFO:root:018: Acc-tr:  32.36, Acc-val:  17.62, L-tr: 1.8547, L-val: 2.3168
INFO:root:019: Acc-tr:  26.86, Acc-val:  16.39, L-tr: 2.0317, L-val: 2.5886
INFO:root:020: Acc-tr:  35.51, Acc-val:  17.90, L-tr: 1.7734, L-val: 2.3541
INFO:root:021: Acc-tr:  30.28, Acc-val:  17.18, L-tr: 1.9390, L-val: 2.7091
INFO:root:022: Acc-tr:  33.50, Acc-val:  16.56, L-tr: 1.8222, L-val: 2.5498
INFO:root:023: Acc-tr:  37.44, Acc-val:  16.85, L-tr: 1.7108, L-val: 2.4704
INFO:root:024: Acc-tr:  39.07, Acc-val:  17.67, L-tr: 1.6744, L-val: 2.4933
INFO:root:025: Acc-tr:  37.75, Acc-val:  16.87, L-tr: 1.7073, L-val: 2.5167
INFO:root:026: Acc-tr:  37.77, Acc-val:  16.04, L-tr: 1.7152, L-val: 2.7679
INFO:root:027: Acc-tr:  38.38, Acc-val:  15.90, L-tr: 1.6727, L-val: 2.8123
INFO:root:028: Acc-tr:  44.96, Acc-val:  16.13, L-tr: 1.5212, L-val: 2.5881
INFO:root:029: Acc-tr:  44.29, Acc-val:  16.40, L-tr: 1.5097, L-val: 2.7322
INFO:root:030: Acc-tr:  43.60, Acc-val:  16.44, L-tr: 1.5248, L-val: 2.7944
INFO:root:031: Acc-tr:  40.35, Acc-val:  15.60, L-tr: 1.6158, L-val: 2.9499
INFO:root:032: Acc-tr:  48.05, Acc-val:  15.40, L-tr: 1.4140, L-val: 2.9044
INFO:root:033: Acc-tr:  38.50, Acc-val:  13.91, L-tr: 1.7114, L-val: 3.4762
INFO:root:034: Acc-tr:  46.26, Acc-val:  16.14, L-tr: 1.4551, L-val: 3.1264
INFO:root:035: Acc-tr:  43.19, Acc-val:  14.87, L-tr: 1.5675, L-val: 3.1110
INFO:root:036: Acc-tr:  44.76, Acc-val:  15.02, L-tr: 1.4623, L-val: 3.0785
INFO:root:037: Acc-tr:  42.64, Acc-val:  15.45, L-tr: 1.5472, L-val: 3.2596
INFO:root:038: Acc-tr:  49.61, Acc-val:  15.18, L-tr: 1.3322, L-val: 3.2348
INFO:root:039: Acc-tr:  45.04, Acc-val:  14.72, L-tr: 1.5067, L-val: 3.3598
INFO:root:040: Acc-tr:  56.38, Acc-val:  14.58, L-tr: 1.1849, L-val: 3.2890
INFO:root:041: Acc-tr:  50.42, Acc-val:  16.54, L-tr: 1.3291, L-val: 3.4989
INFO:root:042: Acc-tr:  56.80, Acc-val:  16.04, L-tr: 1.1487, L-val: 3.3839
INFO:root:043: Acc-tr:  46.88, Acc-val:  14.79, L-tr: 1.4768, L-val: 3.5812
INFO:root:044: Acc-tr:  55.04, Acc-val:  15.38, L-tr: 1.2165, L-val: 3.5112
INFO:root:045: Acc-tr:  57.85, Acc-val:  14.90, L-tr: 1.1395, L-val: 3.5572
INFO:root:046: Acc-tr:  52.69, Acc-val:  16.53, L-tr: 1.2980, L-val: 3.8877
INFO:root:047: Acc-tr:  61.50, Acc-val:  15.43, L-tr: 1.0561, L-val: 3.5015
INFO:root:048: Acc-tr:  61.85, Acc-val:  15.56, L-tr: 1.0505, L-val: 3.6309
INFO:root:049: Acc-tr:  64.65, Acc-val:  15.18, L-tr: 0.9969, L-val: 3.6193
INFO:root:050: Acc-tr:  60.12, Acc-val:  14.13, L-tr: 1.1113, L-val: 3.6430
INFO:root:051: Acc-tr:  62.49, Acc-val:  13.93, L-tr: 1.0357, L-val: 3.6224
INFO:root:052: Acc-tr:  62.46, Acc-val:  13.20, L-tr: 1.0329, L-val: 3.8631
INFO:root:053: Acc-tr:  56.62, Acc-val:  13.91, L-tr: 1.2061, L-val: 4.0865
INFO:root:054: Acc-tr:  64.43, Acc-val:  14.76, L-tr: 0.9958, L-val: 3.7893
INFO:root:055: Acc-tr:  58.00, Acc-val:  14.70, L-tr: 1.2069, L-val: 4.3974
INFO:root:056: Acc-tr:  54.48, Acc-val:  15.13, L-tr: 1.3468, L-val: 4.5147
INFO:root:057: Acc-tr:  57.44, Acc-val:  14.72, L-tr: 1.1827, L-val: 4.3550
INFO:root:058: Acc-tr:  63.58, Acc-val:  14.21, L-tr: 1.0108, L-val: 4.3839
INFO:root:059: Acc-tr:  66.36, Acc-val:  14.92, L-tr: 0.9299, L-val: 4.0376
INFO:root:060: Acc-tr:  69.71, Acc-val:  14.68, L-tr: 0.8478, L-val: 4.1535
INFO:root:061: Acc-tr:  65.18, Acc-val:  14.27, L-tr: 0.9548, L-val: 4.2723
INFO:root:062: Acc-tr:  67.61, Acc-val:  13.81, L-tr: 0.8941, L-val: 4.3164
INFO:root:063: Acc-tr:  59.14, Acc-val:  13.59, L-tr: 1.1512, L-val: 4.3477
INFO:root:064: Acc-tr:  67.33, Acc-val:  14.40, L-tr: 0.9098, L-val: 4.3711
INFO:root:065: Acc-tr:  69.28, Acc-val:  14.06, L-tr: 0.8659, L-val: 4.4351
INFO:root:066: Acc-tr:  54.95, Acc-val:  12.37, L-tr: 1.3713, L-val: 5.0171
INFO:root:067: Acc-tr:  70.30, Acc-val:  14.62, L-tr: 0.8480, L-val: 4.6918
INFO:root:068: Acc-tr:  64.27, Acc-val:  12.91, L-tr: 0.9960, L-val: 4.6297
INFO:root:069: Acc-tr:  59.82, Acc-val:  13.49, L-tr: 1.1079, L-val: 4.6395
INFO:root:070: Acc-tr:  62.08, Acc-val:  13.36, L-tr: 1.1155, L-val: 5.0441
INFO:root:071: Acc-tr:  66.00, Acc-val:  15.00, L-tr: 0.9465, L-val: 4.6981
INFO:root:072: Acc-tr:  74.32, Acc-val:  14.14, L-tr: 0.7213, L-val: 4.3749
INFO:root:073: Acc-tr:  72.03, Acc-val:  14.56, L-tr: 0.7828, L-val: 4.4891
INFO:root:074: Acc-tr:  65.14, Acc-val:  14.66, L-tr: 1.0030, L-val: 4.9476
INFO:root:075: Acc-tr:  75.84, Acc-val:  13.64, L-tr: 0.6826, L-val: 4.5397
INFO:root:076: Acc-tr:  71.12, Acc-val:  13.82, L-tr: 0.8236, L-val: 4.4779
INFO:root:077: Acc-tr:  73.54, Acc-val:  14.51, L-tr: 0.7507, L-val: 4.5508
INFO:root:078: Acc-tr:  72.55, Acc-val:  13.73, L-tr: 0.7718, L-val: 4.6220
INFO:root:079: Acc-tr:  73.37, Acc-val:  14.12, L-tr: 0.7431, L-val: 4.6014
INFO:root:080: Acc-tr:  56.60, Acc-val:  12.41, L-tr: 1.3307, L-val: 5.3790
INFO:root:081: Acc-tr:  69.55, Acc-val:  13.29, L-tr: 0.8544, L-val: 4.7037
INFO:root:082: Acc-tr:  59.02, Acc-val:  13.85, L-tr: 1.2167, L-val: 5.1830
INFO:root:083: Acc-tr:  77.08, Acc-val:  14.35, L-tr: 0.6511, L-val: 4.5544
INFO:root:084: Acc-tr:  72.63, Acc-val:  13.70, L-tr: 0.7678, L-val: 4.9444
INFO:root:085: Acc-tr:  59.47, Acc-val:  13.70, L-tr: 1.2111, L-val: 5.2607
INFO:root:086: Acc-tr:  69.74, Acc-val:  13.74, L-tr: 0.8650, L-val: 5.1760
INFO:root:087: Acc-tr:  73.21, Acc-val:  13.55, L-tr: 0.7606, L-val: 4.8253
INFO:root:088: Acc-tr:  53.64, Acc-val:  13.45, L-tr: 1.4865, L-val: 5.7844
INFO:root:089: Acc-tr:  77.15, Acc-val:  14.43, L-tr: 0.6623, L-val: 4.9116
INFO:root:090: Acc-tr:  66.42, Acc-val:  14.32, L-tr: 0.9997, L-val: 5.0439
INFO:root:091: Acc-tr:  75.09, Acc-val:  12.78, L-tr: 0.7006, L-val: 4.7416
INFO:root:092: Acc-tr:  62.58, Acc-val:  13.05, L-tr: 1.2988, L-val: 5.6643
INFO:root:093: Acc-tr:  69.67, Acc-val:  13.11, L-tr: 0.8807, L-val: 5.3548
INFO:root:094: Acc-tr:  67.18, Acc-val:  15.14, L-tr: 0.9411, L-val: 5.3668
INFO:root:095: Acc-tr:  75.01, Acc-val:  13.30, L-tr: 0.7088, L-val: 4.7491
INFO:root:096: Acc-tr:  67.33, Acc-val:  14.65, L-tr: 1.0052, L-val: 5.2941
INFO:root:097: Acc-tr:  72.70, Acc-val:  13.76, L-tr: 0.8027, L-val: 5.1730
