INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  20.54, Acc-val:  13.36, L-tr: 2.1568, L-val: 2.3745
INFO:root:001: Acc-tr:  21.06, Acc-val:  14.86, L-tr: 2.1447, L-val: 2.4417
INFO:root:002: Acc-tr:  18.63, Acc-val:  14.39, L-tr: 2.2039, L-val: 2.6715
INFO:root:003: Acc-tr:  20.88, Acc-val:  13.02, L-tr: 2.1360, L-val: 2.6405
INFO:root:004: Acc-tr:  21.53, Acc-val:  14.91, L-tr: 2.1253, L-val: 2.8019
INFO:root:005: Acc-tr:  19.99, Acc-val:  14.47, L-tr: 2.1522, L-val: 2.8524
INFO:root:006: Acc-tr:  21.69, Acc-val:  15.44, L-tr: 2.1398, L-val: 3.0432
INFO:root:007: Acc-tr:  23.38, Acc-val:  15.01, L-tr: 2.0989, L-val: 2.7810
INFO:root:008: Acc-tr:  24.04, Acc-val:  13.68, L-tr: 2.0788, L-val: 2.9271
INFO:root:009: Acc-tr:  22.49, Acc-val:  15.02, L-tr: 2.1056, L-val: 2.7436
INFO:root:010: Acc-tr:  24.29, Acc-val:  14.85, L-tr: 2.0664, L-val: 3.0141
INFO:root:011: Acc-tr:  26.10, Acc-val:  11.71, L-tr: 2.0197, L-val: 2.8763
INFO:root:012: Acc-tr:  25.34, Acc-val:  11.61, L-tr: 2.0313, L-val: 3.0632
INFO:root:013: Acc-tr:  26.77, Acc-val:  13.79, L-tr: 1.9977, L-val: 3.0846
INFO:root:014: Acc-tr:  27.57, Acc-val:  12.20, L-tr: 1.9866, L-val: 4.0682
INFO:root:015: Acc-tr:  26.60, Acc-val:  14.59, L-tr: 2.0063, L-val: 2.7618
INFO:root:016: Acc-tr:  27.26, Acc-val:  13.45, L-tr: 1.9803, L-val: 3.3803
INFO:root:017: Acc-tr:  25.21, Acc-val:  12.46, L-tr: 2.0538, L-val: 3.4380
INFO:root:018: Acc-tr:  28.22, Acc-val:  13.05, L-tr: 1.9637, L-val: 3.6840
INFO:root:019: Acc-tr:  29.48, Acc-val:  12.90, L-tr: 1.9399, L-val: 3.7923
INFO:root:020: Acc-tr:  29.57, Acc-val:  11.19, L-tr: 1.9311, L-val: 3.5853
INFO:root:021: Acc-tr:  30.63, Acc-val:  11.68, L-tr: 1.8934, L-val: 3.4417
INFO:root:022: Acc-tr:  27.88, Acc-val:  15.05, L-tr: 2.0241, L-val: 2.9359
INFO:root:023: Acc-tr:  31.09, Acc-val:  12.06, L-tr: 1.8854, L-val: 4.1397
INFO:root:024: Acc-tr:  33.23, Acc-val:  13.23, L-tr: 1.8271, L-val: 3.4709
