INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  36.25, Acc-val:  12.08, L-tr: 1.8101, L-val: 2.6916
INFO:root:001: Acc-tr:  47.31, Acc-val:  15.06, L-tr: 1.4812, L-val: 2.7768
INFO:root:002: Acc-tr:  51.10, Acc-val:  13.84, L-tr: 1.3608, L-val: 2.5754
INFO:root:003: Acc-tr:  53.54, Acc-val:  14.44, L-tr: 1.2984, L-val: 2.7176
INFO:root:004: Acc-tr:  53.98, Acc-val:  14.72, L-tr: 1.3099, L-val: 3.0392
INFO:root:005: Acc-tr:  54.63, Acc-val:  13.71, L-tr: 1.2876, L-val: 3.3420
INFO:root:006: Acc-tr:  61.21, Acc-val:  12.20, L-tr: 1.1083, L-val: 2.9471
INFO:root:007: Acc-tr:  62.92, Acc-val:  12.63, L-tr: 1.0526, L-val: 3.2702
INFO:root:008: Acc-tr:  60.16, Acc-val:  10.68, L-tr: 1.0846, L-val: 3.5032
INFO:root:009: Acc-tr:  69.09, Acc-val:  12.78, L-tr: 0.8887, L-val: 3.2006
INFO:root:010: Acc-tr:  66.39, Acc-val:  13.99, L-tr: 0.9545, L-val: 3.1465
INFO:root:011: Acc-tr:  60.10, Acc-val:  12.90, L-tr: 1.0928, L-val: 3.8162
INFO:root:012: Acc-tr:  71.85, Acc-val:  13.07, L-tr: 0.8096, L-val: 3.4443
INFO:root:013: Acc-tr:  68.27, Acc-val:  14.16, L-tr: 0.9384, L-val: 3.9567
INFO:root:014: Acc-tr:  73.81, Acc-val:  12.95, L-tr: 0.7399, L-val: 3.5909
INFO:root:015: Acc-tr:  77.85, Acc-val:  14.06, L-tr: 0.6510, L-val: 3.4992
INFO:root:016: Acc-tr:  77.71, Acc-val:  12.96, L-tr: 0.6400, L-val: 4.2267
INFO:root:017: Acc-tr:  70.44, Acc-val:  12.85, L-tr: 0.8203, L-val: 4.9317
INFO:root:018: Acc-tr:  68.60, Acc-val:  11.95, L-tr: 0.9085, L-val: 4.8419
INFO:root:019: Acc-tr:  73.79, Acc-val:  12.54, L-tr: 0.7248, L-val: 4.4369
INFO:root:020: Acc-tr:  78.50, Acc-val:  13.21, L-tr: 0.6287, L-val: 4.0274
INFO:root:021: Acc-tr:  80.27, Acc-val:  12.42, L-tr: 0.5696, L-val: 5.2840
INFO:root:022: Acc-tr:  81.21, Acc-val:  13.29, L-tr: 0.5322, L-val: 4.6231
INFO:root:023: Acc-tr:  76.12, Acc-val:  12.67, L-tr: 0.7052, L-val: 5.9610
INFO:root:024: Acc-tr:  72.48, Acc-val:  13.76, L-tr: 0.7702, L-val: 4.1436
INFO:root:025: Acc-tr:  65.29, Acc-val:  11.47, L-tr: 1.0373, L-val: 5.1637
INFO:root:026: Acc-tr:  81.49, Acc-val:  12.69, L-tr: 0.5088, L-val: 5.0842
INFO:root:027: Acc-tr:  80.41, Acc-val:  14.40, L-tr: 0.5424, L-val: 4.2588
INFO:root:028: Acc-tr:  77.72, Acc-val:  12.87, L-tr: 0.6024, L-val: 5.8006
INFO:root:029: Acc-tr:  83.14, Acc-val:  13.08, L-tr: 0.4686, L-val: 5.2811
INFO:root:030: Acc-tr:  81.67, Acc-val:  12.88, L-tr: 0.5081, L-val: 5.1438
INFO:root:031: Acc-tr:  81.74, Acc-val:  12.61, L-tr: 0.5147, L-val: 5.6137
INFO:root:032: Acc-tr:  86.13, Acc-val:  12.74, L-tr: 0.3940, L-val: 5.7278
INFO:root:033: Acc-tr:  82.69, Acc-val:  13.63, L-tr: 0.4695, L-val: 5.0352
INFO:root:034: Acc-tr:  80.36, Acc-val:  13.28, L-tr: 0.5650, L-val: 5.3426
INFO:root:035: Acc-tr:  79.89, Acc-val:  11.91, L-tr: 0.5587, L-val: 5.4571
INFO:root:036: Acc-tr:  83.30, Acc-val:  12.96, L-tr: 0.4678, L-val: 6.0883
INFO:root:037: Acc-tr:  86.73, Acc-val:  14.04, L-tr: 0.3764, L-val: 5.5952
INFO:root:038: Acc-tr:  85.07, Acc-val:  13.38, L-tr: 0.4233, L-val: 5.2761
INFO:root:039: Acc-tr:  71.85, Acc-val:  11.44, L-tr: 0.8797, L-val: 5.9203
INFO:root:040: Acc-tr:  84.97, Acc-val:  12.02, L-tr: 0.4114, L-val: 5.2465
INFO:root:041: Acc-tr:  87.45, Acc-val:  13.14, L-tr: 0.3473, L-val: 5.2291
INFO:root:042: Acc-tr:  85.51, Acc-val:  12.27, L-tr: 0.4088, L-val: 5.3839
INFO:root:043: Acc-tr:  83.84, Acc-val:  12.18, L-tr: 0.4497, L-val: 5.5975
INFO:root:044: Acc-tr:  88.51, Acc-val:  12.09, L-tr: 0.3350, L-val: 5.6377
INFO:root:045: Acc-tr:  80.15, Acc-val:  11.47, L-tr: 0.5585, L-val: 6.2002
INFO:root:046: Acc-tr:  84.98, Acc-val:  13.78, L-tr: 0.4149, L-val: 5.7453
INFO:root:047: Acc-tr:  76.86, Acc-val:  12.61, L-tr: 0.8050, L-val: 6.1933
